Title,ID,Website URL,Sectors,Simplified Sector Mapping,Endorsed,Provider type 1,Provider type 2,Lead provider,Growth hub / Catapult,DEAD,Regions,Type of programme,One to watch,Support available,Programme costs,Offerings,Other delivery partners,Public funded,Year programme started,Lead contact name,Lead contact email,Thumbnail image,Filter,Categories,Themes,Copy,Locations_map_point_address,Locations_map_point_street_name,Locations_map_point_street_short_name,Locations_map_point_city,Locations_map_point_state,Locations_map_point_state_short,Locations_map_point_post_code,Locations_map_point_country,Co-ordinates
FastFutures: Avado Learning,15149,https://www.fastfutures.com/,Technology & Communications,Technology,,Provider type>Private sector,,Fast Futures,,,UK,Scaling firm focus,,Access to talent and skills|Skills training,Free,Service,,,2020,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2023/02/fast-futures-logo.png,Support offer,"ATTRACTION OF TALENT/SKILLS
",Talent and Skills,"Avado is a professional academy that helps people and businesses through interactive learning experiences in data, marketing, people and agility. FastFutures Apprenticeships and Skills Bootcamps offer role-specific training, career coaching, and mentoring sessions that unlock potential for individuals and organisations.",,"White City Campus, 58 Wood Lane",London,,England,England,W12 7RZ,United Kingdom,"51.51373,-0.22342"
Multiverse,15151,https://www.multiverse.io/en-GB/programmes,Technology & Communications,Technology,,Provider type>Private sector,,Multiverse,,,International|UK,Scaling firm focus,,Access to talent and skills|Skills training,Delivered for a fee,Service,,,2016,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2023/02/multiverse-logo.png,Support offer,"ATTRACTION OF TALENT/SKILLS
",Talent and Skills,"Multiverse provides apprenticeship programmes that combine work, training and community. Since starting in 2016, they have trained over 5,000 apprentices in partnership with more than 200 employers worldwide. Focusing on the skills of the future, the programmes range from software engineering to data analytics to business analysis.",,Eastbourne Terrace,,,England,England,W2 6LG,United Kingdom,"51.51675,-0.17920"
Shott Scale Up Accelerator,15327,https://enterprisehub.raeng.org.uk/shott-scale-up,Engineering / Advanced Engineering,Advanced Manufacturing,1,Provider type>Public/hybrid mix,Provider type: Universities/ Business School,Royal Academy of Engineering,,,UK,ScaleUp Institute Endorsed/One to Watch,,Leadership development/capacity building,Free,Programme,,,2013,,shottscaleup@raeng.org.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2020/11/raenew.png,Support Offer,SECTORAL DEVELOPMENT,Leadership,"The Royal Academy of Engineering celebrates a decade of supporting talented entrepreneurs and decision makers to transform breakthrough engineering innovations into disruptive spinouts, early stage, scaling businesses and scaleups that have a real impact on society. Its Scale Up Accelerator empowers leaders of high-growth engineering and tech businesses by equipping them with the leadership skills and insights needed to scale up successfully.

The programme offers a tailored 12-month package of leadership training, coaching and business mentoring, backed by a £10k grant to fund training of participants’ choosing. Each cohort of 15 scaling leaders is also connected with mentors from the Academy’s network 1,700+ fellows.

Mentors have industry and tech businesses scaling experience, so they can support with technology and business needs. This sits alongside expert-led workshops, speaker events, fireside chats and investor referrals. The range of support offered allows participants to create a bespoke package tailored to their scaling priorities and ambitions.

Upon graduation participants are given lifetime membership of the Academy’s Enterprise Hub, with access to its co-working spaces in London and Belfast and a new hub Glasgow, which opened in 2023. Additionally the Academy has developed a new exclusive alumni programme <span style=""color: #ff9900;""><a style=""color: #ff9900;"" href=""https://enterprisehub.raeng.org.uk/explore"">EXPLORE</a></span> to help previous programme participants to tap into overseas  markets and ecosystems and access investors; it also facilitates peer-to-peer networking events, connections, and ongoing mentoring opportunities for alumni.

Other new developments in the past year include increasing the number of participants per cohort and extending programme duration to 12 months, giving scaling leaders an additional six months to access support. A new Culture+ platform – developed in partnership with The Honeycomb Works – is a dedicated equality, diversity and inclusion (EDI) resource for scaling companies, giving access to training, policy templates, checklists, case studies, and opportunities for self and peer reflection.

Since 2016, 143 scaleup leaders have participated in the programme, more than 3,000 new jobs have been created and company valuations have increased by £1.76bn. On average, participants increased their employment by more than 50 per cent after 12 months of support and received £976m in investment and £133m in grant funding since the programme started.
<blockquote>“The Shott Scaleup accelerator is designed for skilled executives who have identified a knowledge gap that they want to work on both individually and professionally. It’s a structured and supportive environment to learn from peers, coaches, mentors, and the wider RAEng network. It’s a really great opportunity for industry leaders to explore new ways of thinking, working, and strategizing for growth.”</blockquote>
Amber Michelle Hill, Research Grid
<blockquote>“The Shott Scale Accelerator Programme has been transformative for myself as a leader and for my organisation as we grow. It has equipped me with skills, knowledge and networks that will help propel us forward.”</blockquote>
James Willard, MicrofluidX
<blockquote>“I set out to grow as a leader to grow the business and the programme has achieved that. I feel more confident and have been given a range of practical and helpful tools.”</blockquote>
Vicky De Groof, Holiferm",,Carlton House Terrace,,,England,England,SW1Y 5DG,United Kingdom,"51.50569,-0.13300"
Amadeus Capital Partners,15338,https://www.amadeuscapital.com/,Defence & Security|Finance|Healthcare|Technology & Communications,Fintech,1,Provider type>Private sector,,Amadeus Capital Partners,,,UK,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,1997,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2020/11/amadeus-1.png,Financier,REVENUE GROWTH FOR BUSINESSES,Finance,"<a href=""https://www.amadeuscapital.com/"">Amadeus Capital Partners</a> is a global technology investor that invests in companies requiring early investment and growth capital with global potential. Founded by Anne Glover and Herman Hauser in 1997, Amadeus now has a team of over 40. One-third of the firm’s early stage investment team are women.

The firm follows three investment strategies: providing seed, start-up and scaleup capital for early stage companies with exceptional IP based in, or growing from the UK; primary and secondary investments in high-growth technology companies; and growth capital investments in tech-enabled consumer and business services in emerging markets. It is focused on AI & machine learning, online consumer services, cyber security, digital health and medical technology, digital media, enterprise SaaS, fintech, regtech and insurtech.

The firm has offices in London, Cambridge, Oxford, San Francisco and São Paulo. It is a partner with the British Business Bank on the <a href=""https://www.british-business-bank.co.uk/ourpartners/enterprise-capital-funds/"">Enterprise Capital Fund programme</a>. Its latest £110m Amadeus V Technology Fund includes a cornerstone commitment by <a href=""https://www.britishpatientcapital.co.uk/"">British Patient Capital</a>.

Growth investments in the past year include medical device company <a href=""https://www.natroxwoundcare.com/about-us/"">Inotec AMD</a>, healthcare review platform <a href=""https://www.doctify.com/uk/about/doctify"">Doctify</a>, machine learning operations platform <a href=""http://www.seldon.io/"">Seldon</a> and quantum engineers <a href=""https://www.riverlane.com/press-release/riverlane-raises-15m-series-b-to-advance-useful-quantum-computing"">River Lane Research</a>.

Notable scaleups in their portfolio include chip designers <a href=""https://www.graphcore.ai/"">Graphcore</a>, graphene company <a href=""https://www.paragraf.com/"">Paragraf</a>, cell and gene therapy manufacturing platform <a href=""https://oribiotech.com/"">OriBiotech</a>, <a href=""https://www.nuclera.com/"">Nuclera</a> and <a href=""https://poly.ai/"">PolyAi</a>.

In the period between January 2016 to June 2023, the average turnover of companies in its portfolio was £5.3m and the estimated average number of employees was 55.

Alongside investment Amadeus supports scaling businesses with technical insight, operational experience and access to a global network. They connect portfolio companies to additional support for innovation and growth including access to mentors and NEDs.",|,Jermyn Street|Quayside,|,|,England|England,England|England,SW1Y 4UR,United Kingdom|United Kingdom,"51.50944,-0.13316"
Archangels,15340,https://archangelsonline.com/,Life Sciences & Biotech|Technology & Communications,Life Sciences,1,Provider type>Private sector,,Archangel Investors,,,Scotland,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,1992,,investment@archangelsonline.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/11/Archangels-logo.png,Financier,REVENUE GROWTH FOR BUSINESSES,Finance,"Established in 1992, <a href=""https://archangelsonline.com/"">Archangels</a> says it is “the longest continuously operating angel syndicate in the world.”  Based in Edinburgh, Archangels aims to deliver returns for its investors while harnessing their experience and networks to fuel the success of Scotland’s entrepreneurs and innovators in technology and life sciences.

The syndicate currently has around 120 members invested in a portfolio of 20 early-stage companies. The preferred level of investment is £250k to £2m and typically co-ordinates the investment of more than £15m per year. While the capital provided by Archangels is not primarily scaleup capital, it provides businesses with patient money to help them on their scaling journey.

The syndicate typically co-ordinates the investment of more than £10m per year in early stage Scottish tech and life science companies. Archangels invested £13.4m during 2022; the total investment among 11 businesses was a 14% increase on Archangels’ investment activity in 2021 (£11.8m).

Archangels regularly invests alongside co-investment partners including Scottish Enterprise, other angel syndicates and VCs. In 2023, the syndicate secured a £12m <a href=""https://archangelsonline.com/archangels-coinvestment-12m-british-business-investments-bbi/"">co-investment agreement with British Business Investments</a> via its Regional Angels Programme.

Companies must fit the investment criteria of being based in Scotland; a technology or life science business with a B2B business model; having high growth potential with international sales potential; defendable technology; and qualify under the Enterprise Investment Scheme. Its investments include <a href=""https://www.integratedgraphene.com/"">Integrated Graphene</a>, <a href=""https://www.cytomos.com/"">Cytomos</a>, <a href=""https://www.earthblox.io/"">Earth Blox</a>, <a href=""https://www.getadministrate.com/"">Administrate</a> and <a href=""https://www.biocaptiva.com/"">BioCaptiva</a> and <a href=""https://www.nctechimaging.com/"">NCTech.</a>

Archangels helped in the creation of the <a href=""https://www.scottish-enterprise.com/support-for-businesses/funding-and-grants/accessing-finance-and-attracting-investment/scottish-co-investment-fund"">Scottish Co-Investment</a> Fund (SCF) which sees the public and private sector partnering to support risk financing of early-stage high-growth potential companies. SCF has increasingly participated in Archangels’ deals with a relatively steady proportion of total investment at around 25-30%. Archangels uses this stable relationship to increase leverage, particularly in later rounds. SCF’s participation offers Archangels’ portfolio companies further support including mentoring and other practical support from the public sector.

As well as financial investment, members contribute their time and expertise to support company growth including providing connections to relevant industry experience and contacts. Archangels has pushed its learnings into the wider angel community and beyond into the policy domain in order to facilitate improved performance and impacts economically. The open innovation approach taken by Archangels from an early stage has helped facilitate the wider growth of angel investing in Scotland.

According to <a href=""https://archangelsonline.com/wp-content/uploads/2022/09/1992-2022-Archangels-Economic-Impact-Report.pdf"">recent analysis conducted by the University of Glasgow’s Adam Smith Business School</a>, the £161m invested by Archangels since 1992 has directly created 3,647 high-skilled jobs and indirectly created a further 1,500 jobs. The companies in which Archangels has invested from 1992 to 2021 are estimated to have created over 4,000 jobs, generated aggregate turnover of at least £2.15bn and have contributed £1.43bn GVA to the Scottish economy.",,Rutland Square,,,Scotland,Scotland,EH1 2BB,United Kingdom,"55.94834,-3.20954"
Beringea,15343,https://www.beringea.com/,Environmental Science & Technology|Healthcare|Professional Services|Technology & Communications,Technology,1,Provider type>Private sector,,Beringea,,,International|UK,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,,,info@beringea.co.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/Beringea.png,Financier,REVENUE GROWTH FOR BUSINESSES,Finance,"The firm invests in the UK, EU and USA, focusing on healthcare, cleantech, consumer, media, business services and technology. In the UK and EU, its typical initial investments are between £1-10m into companies with at least £1m turnover, tending to lead Series A or Series B rounds with further funding available for follow-on investments. <a href=""https://www.beringea.com/"">Beringea</a> manages more than $700m in funds in the UK and the US. In the UK, Beringea manages three VCTs, including ProVen VCT and ProVen Growth and Income VCT which together manage more than £300m.

Between January 2016 to June 2023 Beringea participated in 55 fundraisings, of which 16 were follow-on investments. All of them were growth stage investments at the time of fundraising. These include healthcare review platform <a href=""https://www.beringea.com/news/investments/doctify-secures-usd10m-growth-round-led-by-beringea-to-drive-global-growth"">Doctify</a> (alongside Amadeus Capital Partners), hardware brand <a href=""https://www.businessleader.co.uk/plank-hardware-co-founder-journey/"">Plank Hardware</a>, social impact measurement platform <a href=""https://www.beringea.com/news/investments/tech-for-good-platform-that-measures-social-impact-raises-gbp8-5m"">Social Value Portal</a>, and seltzer brand <a href=""https://www.beringea.com/news/investments/dash-water-raises-gbp8-7m-and-targets-european-expansion"">Dash Water</a>.

Other scaleups in its portfolio include the locum GP platform <a href=""https://lantum.com/"">Lantum</a>, psychometric test developers <a href=""https://www.arcticshores.com/"">Arctic Shores</a>, and fashion styling service <a href=""https://www.thread.com/gb/"">Thread</a>.

The average turnover of companies supported by Beringea in the period between January 2016 to June 2023 was £19.3m and the average number of employees was 69.

The firm runs its own Scaleup Academy, an annual programme of events and training to help the leadership teams of its portfolio companies overcome barriers to scale, and emphasises its capabilities in assisting the transatlantic expansion strategies of its portfolio companies.

It has also been a leading figure in the creation of an industry initiative – <a href=""https://www.esgvc.co.uk/"">ESG_VC</a> – to support early-stage companies to measure, monitor and maximise their performance against key ESG metrics. The firm has been accredited as a Level 2 firm in the <a href=""https://diversity.vc/diversity-vc-standard/"">Diversity VC Standard</a>, recognising it as developing and adopting best practice for diversity and inclusion throughout its operations as a VC firm. Currently, 42 per cent of Beringea’s UK investment team are women, as well as 40 per cent of its UK investment committee.",,55 Drury Lane,,,England,England,WC2B 5SQ,United Kingdom,"51.51390,-0.12087"
Cambridge Angels,15347,https://cambridgeangels.com/,Healthcare|Life Sciences & Biotech|Technology & Communications,Life Sciences,1,Provider type>Private sector,,Cambridge Angels,,,East of England,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,2001,,INFO@CAMBRIDGEANGELS.NET,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/11/Cambridge-Angels-Logo.png,Financier,REVENUE GROWTH FOR BUSINESSES,Finance,"<a href=""https://cambridgeangels.com/"">Cambridge Angels</a> is a group of more than 60 high-net worth investors who invest in and mentor high quality early-stage and scaling companies in Cambridge, London, Oxford and throughout the UK. In 2022, Cambridge Angels invested £71.2m in 58 companies.

Typical funding requirements that Cambridge Angels meet are in the range of £150k to £1.5m – although several portfolio companies have raised significant follow-on funding from its members and the network’s VC partners over several funding rounds. There is a particular focus on deep-tech, and tools and technologies supporting healthcare.

The network’s membership has founded, invested in and led a large number of successful Cambridge-based companies in recent years, such as <a href=""https://paragraf.com/"">Paragraf</a>, <a href=""https://arecor.com/"">Arecor</a>, <a href=""https://www.eaglegenomics.com/"">Eagle Genomics</a>, <a href=""https://www.privitar.com/"">Privitar</a> and <a href=""https://healx.ai/"">Healx</a>. In addition to providing funding, Cambridge Angels also offers expertise, contacts and directly relevant experience to early-stage and scaling companies – in what it terms “smart capital from entrepreneurs to entrepreneurs.”

Emphasis is placed upon leveraging the collective experience of the portfolio and the angels.  Sessions are hosted in which angels and a network of professionals and associates provide portfolio companies with education sessions on topics such as exits and building leadership teams.

Since inception in September 2001, Cambridge Angels has invested in excess of £150m in over 120 portfolio companies. 24 of the companies in the current portfolio are in the scaleup stage having received early-stage funding and support from Cambridge Angels at their seed stage and continuing to date.",,,,,England,England,CB4 0GF,United Kingdom,"52.23319,0.14792"
Alderley Park,15348,https://www.alderleypark.co.uk/,Life Sciences & Biotech,Life Sciences,1,Provider type>Private sector,,Bruntwood SciTech,,,North West,ScaleUp Institute Endorsed/One to Watch,,Access to peer networks|Financial support/access|Office space/hubs that focus on scaleups|Support for R&D and/or innovation,Delivered for a fee,Service,,,,,info@alderleypark.co.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/Alderley-Park-web-copy-2.png,Support Offer,SECTORAL DEVELOPMENT,Infrastructure,"Bruntwood SciTech’s Alderley Park provides over 1m sq ft of state-of-the-art office and lab space to a vibrant and fast growing community of businesses in the life sciences and tech sector. Alderley Park supports over 250 companies from start-up to scaleup on site including national institutions such as Cancer Research UK and the Medicines Discovery Catapult.

As part of the Park’s £247m ongoing development plan, 2023 saw £3.8m invested into 35,000 sq ft of redeveloped workspace at the campus. This, alongside 2022’s £20m investment into 86,000 sq ft of new biology and chemistry labs, provides additional space for scaling companies.

Resident scaleups have access to Alderley Park’s flexible infrastructure and scientific services, providing the facilities to achieve their growth potential. Coworking laboratories provide access to specialised equipment operated by an experienced laboratory management team through an easy and low cost set up process. This includes access to highly specialised suites from surgery to level 2 containment and bio-imaging and dedicated vivarium space.

The campus’ accelerator offers commercial workshops,  personalised one-to-one support sessions and access to specialist expertise for scaleup entrepreneurs and leaders. Workshops include a focus on scaling challenges, leadership skills and development along with support accessing finance and international markets. 

In 2023, Bruntwood SciTech launched the Biospheric Network from Alderley Park to support the ongoing growth of onsite scaleups  This network sees established entrepreneurs and senior executives provide funded growth-oriented support - including access to finance, deep sector-specialised networking, and business consultancy - to some of the most promising businesses in the life science sector. 

In addition, scaling life sciences businesses on site and across the wider region can pitch for funding of between £50k to £2m from the Greater Manchester & Cheshire Life Science Fund run by Praetura and backed by Bruntwood SciTech, GMCA and Cheshire & Warrington LEP.",,Congleton Road,,,England,England,SK10 4TG,United Kingdom,"53.27755,-2.23007"
Cambridge Innovation Capital (CIC),15350,https://www.cic.vc/,Engineering / Advanced Engineering|Healthcare|Life Sciences & Biotech,Life Sciences,1,Provider type>Private sector,,Cambridge Innovation Capital,,,East of England,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,2013,,enquiries@cic.vc,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/11/CIC-logo.png,Financier,,Finance,"Cambridge Innovation Capital (CIC) backs world-leading life sciences and technology companies with an affiliation to Cambridge. It was founded in 2013 by the University of Cambridge to create a trusted local firm that would provide early stage capital to promising life sciences and technology businesses emerging from the university – for which it is a preferred investor – and the Cambridge ecosystem. It is an exemplar of how universities and financiers can collaborate to support their scaleup communities.

CIC currently manages over £500m and has invested in 31 companies. In the period from January 2016 to July 2023, CIC has supported 67 fundraisings of which 36 (54%) were follow-on investments. Eight in ten (84%) were growth stage investments at the time of fundraising.

Nearly eight in ten (77%) of CIC’s investments are outside of London. CIC invests in disruptive, deep-tech businesses in sectors including, but not limited to, artificial intelligence, internet of things, quantum technologies, autonomous systems, therapeutics, medtech/diagnostics, digital health and genomics/proteomics.

Notable scaleups that CIC has supported include CMR Surgical, Congenica, PragmatIC Semiconductor and Microbiotica.

CIC has worked closely with stakeholders in the ecosystem – such as the Babraham Research Campus, endorsed by the ScaleUp Institute – to establish new accelerators, such as Start Codon (founded in 2019) for life sciences and healthcare businesses which aims to speed up the process of going from “bench to product” and offers investment, mentoring and access to research infrastructure including laboratory space. CIC has also helped to establish, and co-owns, the Deeptech Labs accelerator for technology businesses, providing hands-on support to bridge the gap between translational research and ‘Series A’ ready businesses. In September 2022 Cambridge Innovation Capital, Cambridge Enterprise and the University of Cambridge launched , an initiative aiming to define an inclusive, ambitious, and broad-ranging innovation vision for the Greater Cambridge region.

Its team brings to its portfolio companies deep domain and operational expertise from its past experiences as entrepreneurs, scientists, operators and investors. The team takes a hands-on approach including board participation, business planning and development, executive recruitment, commercialisation and scaleup.",,,,,England,England,CB1 2JD,United Kingdom,"52.19443,0.13345"
Envestors,15356,https://www.envestors.co.uk/,Environmental Science & Technology|Finance|Food & Drink|Healthcare|Life Sciences & Biotech|Manufacturing / Advanced Manufacturing|Professional Services,Life Sciences,1,Provider type>Private sector,,Envestors,,,International|UK,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,2004,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2020/11/envestors-1.png,Financier,,Finance,"Established in 2004, <a href=""https://www.envestors.co.uk/"">Envestors</a> is an FCA regulated finance adviser in the UK which connects investors and scaleup businesses through its digital investment technology that provides a white label platform for accelerators, incubators and angel networks. It has facilitated over £100m of investment into more than 500 companies from its network.

In the period between January 2016 to June 2023, it supported 52 UK companies in 65 fundraisings. More than two in three (69%) were at a growth stage at the time of the investment. Scaleups currently supported by Envestors include <a href=""https://www.voxsmart.com/"">VoxSmart</a> and <a href=""https://spherefluidics.com/"">Sphere Fluidics</a>.

Its Envestry for Scaleups provides a Software as a Service (SaaS) platform which can be used to automate the application process for businesses seeking support, showcase investment opportunities to investors in a secure area and allow its investors to track opportunities and manage their portfolio.",|,Colombo Street|,|,|Saint Helier,England|St Helier,England|St Helier,SE1 8DP,United Kingdom|Jersey,"51.50570,-0.10507"
Frog Capital,15358,https://frogcapital.com/,Building & Construction|Defence & Security|Engineering / Advanced Engineering|Environmental Science & Technology|Finance|Fisheries & Forestry|Food & Drink|Healthcare|Impact Ventures / Social Impact|Technology & Communications|Transport & Logistics,Technology,1,Provider type>Private sector,,Frog Capital,,,International|UK,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,,,reception@frogcapital.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/11/frog-logo.png,Financier,,Finance,"<a href=""https://frogcapital.com/"">Frog Capital</a> is a scaleup stage investor focused on software-enabled businesses in Europe. It invests in companies in equity rounds of €5m to €20m in European software scaleups across two key themes – digital infrastructure and smart data – with annualised revenues of between €3m – €30m.

To date, it has invested in over 60 companies around Europe. Notable scaleups in its portfolio include <a href=""https://www.modulrfinance.com/"">Modulr</a> and <a href=""https://www.cluesoftware.com/about-us/"">Clue</a>. One recent exit was <a href=""https://www.evotix.com/"">Evotix</a>, which featured as a scaleup story in the ScaleUp Institute 2021 Annual Review.

Frog Capital was endorsed by the ScaleUp Institute in 2021 as an exemplar of a fund that is acting as “a scaleup partner,” tailoring its support to match the unique needs of each business, helping with senior-level recruitment and introducing portfolio CEOs to other investment partners from their network.

The firm’s website offers dedicated pages with scaleup insights, including thought leadership and toolkits to support and help scaleups on their growth journey. The firm has defined major elements which are essential for any CEO to succeed in the scaleup phase, and they provide expert guidance on execution, planning, strategy and resilience.",,Birkenhead Street,,,England,England,WC1H 8BA,United Kingdom,"51.53003,-0.12179"
IP Group,15360,https://www.ipgroupplc.com/,Life Sciences and Biotech l Technology and Communications,Life Sciences,1,Provider type>Private sector,,IP Group,,,UK,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,2001,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/IP-Group-web-2.png,Financier,,Finance,"The 22 year-old IP Group is an FTSE-250 listed IP commercialisation company which has helped to develop more than 500 companies. With a focus on life sciences, deeptech and cleantech, it invests in university spin-outs at seed, venture and growth stages and assists them with the commercialisation of their new products and services, with technology transfer, IP licensing and protection. It continues to invest in portfolio companies as they scale. 

It describes itself as “one of the largest investors in university and other research-based companies in the world; the most prolific investor in deeptech companies in the UK and the second most prolific in Europe.”

The firm has a long-term partnership model with UK universities and developed an approach to supporting businesses from “cradle to maturity,” including assistance with executive search and recruitment and raising growth stage capital from co-investors. It currently has partnerships with 17 UK universities, six US universities and nine universities in Australia and New Zealand. 

The company owns Parkwalk Advisors, an active EIS investor in university spin-outs of ‘hard science’ companies, and has stakes in Oxford Sciences Innovation and Cambridge Innovation Capital. Other UK scaleups in its portfolio include Ultraleap, Crescendo Biologics, First Light Fusion and Istesso.",,,,,England,England,N1C 4AG,United Kingdom,"51.53348,-0.12504"
Livingbridge,15364,https://www.livingbridge.com/,Healthcare|Technology & Communications,Technology,1,Provider type>Private sector,,Livingbridge,,,International|UK,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,1999,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/Livingbridge-Logo-300x189-2.jpg,Financier,,Finance,"<a href=""https://www.livingbridge.com/"">Livingbridge</a> is a 25-year-old private equity firm that has been investing in four sectors – healthcare and education, services, consumer and TMT – and has made more than 165 investments.

It typically makes investments between £5m to £100m, taking a flexible approach – it will provide growth capital, as well as funding management buy-outs and secondary buy-outs and replacement capital deals. It will invest in high-growth, entrepreneurial businesses with enterprise values of up to £300m.

The average size of its investment round into UK companies since 2016 is £12.1m. In the period between 2016 to June 2023, the firm invested a total of £206m in 29 UK companies in 33 fundraising rounds. The average turnover of those companies was £29.2m and their average number of employees was 343.

Scaleups in its portfolio include wellness brand <a href=""https://www.absolutecollagen.com/"">Absolute Collagen</a>, insurance brokers <a href=""https://www.livingbridge.com/jensten-group-acquisition-delivers-significant-presence-in-east-anglia/"">Jensten Group</a>, telecoms services provider <a href=""https://www.fluidone.com/"">FluidOne</a>, and circular economy pioneer <a href=""https://www.wob.com/en-gb"">World of Books</a>.

The firm has offices in London, Birmingham and Manchester and an Australian office in Melbourne to make primary investments in the UK, Australia and New Zealand. It has an office in Boston and a US industry advisory board to support expansion and M&A in the US.

To support the growth strategies of its portfolio companies, Livingbridge has developed its “growth accelerators,” which it describes as “core value creation capabilities designed to unlock a business’s potential.” Its in-house growth acceleration team is made up of market experts principally covering international growth, corporate development, customer acquisition and retention, talent and technology. Its managing partner, Wol Kolade, is a founder of The 10,000 Black Interns programme, which will offer paid work experience across a wide range of sectors, providing training and development opportunities and creating a sustainable cycle of mentorship and sponsorship for the black community.",||,Wood Street|Newhall Street|King Street,||,||,England|England|England,England|England|England,EC2V 7AN,United Kingdom|United Kingdom|United Kingdom,"51.51636,-0.09445"
MMC Ventures,15366,https://mmc.vc/,Technology & Communications,Technology,1,Provider type>Private sector,,MMC Ventures,,,UK,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,2000,,fundenquiries@mmc.vc,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/11/MMC-logo.png,Financier,,Finance,"<a href=""https://mmc.vc/"">MMC</a> has a strong track record in supporting scaleups. The firm manages funds for private individuals and institutions and has approximately $1bn under management. It backs “transformative” technology companies, investing approximately £30m per annum in new investments and follow-on capital. It was the first commercial venture capital firm in the UK to qualify as a B Corp.

Founded in 2000, MMC targets an initial investment of £1-5m and can support further growth of “knowledge intensive companies” with up to £20m. Its £100m Scale-Up Fund provides expansion capital to portfolio companies once they have grown beyond the limits of EIS investment, and can also participate in secondary transactions, offering liquidity to early MMC and third-party investors.

Notable scaleups it has backed to date include <a href=""https://www.scaleupinstitute.org.uk/stories/gousto/"">Gousto</a> and <a href=""https://www.bloomandwild.com/"">Bloom & Wild</a>, cash management platform <a href=""https://treasuryspring.com/"">TreasurySpring</a> and AI video creation platform <a href=""https://www.synthesia.io/"">Synthesia</a>.

Portfolio companies benefit from a peer learning network programme, where companies are paired with a relevant counterpart to meet/zoom for one hour each month for six months – and there is also the flexibility to tailor the relationship to suit their individual needs.

MMC also assists investee companies in areas including international expansion, senior hiring, access to potential clients, corporate governance, fundraising, bank finance and exit. Its research team works closely with investee company founders to help businesses grow. Themed events are hosted regularly and podcasts and videos are available on their website.",,High Holborn,,,England,England,WC1V 6AZ,United Kingdom,"51.51856,-0.11314"
Partech,15374,https://partechpartners.com/,Technology & Communications,Technology,1,Provider type>Private sector,,Partech,,,UK,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,1982,Emmanuel Delaveau,edelaveau@partechpartners.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/Partech-web-copy-2.jpeg,Financier,,Finance,"Partech makes equity investments at seed, venture and growth stage. Its Growth team invests in European scaleups, making initial investments from €20m to €60m.

With offices in San Francisco, Paris, Berlin and Dakar, Partech’s investment focus is on technology and digital businesses in the UK, US and Europe and is developing its presence in Asia and Africa. Its current portfolio is made up of 200+ companies in more than 30 countries.

In the period between January 2016 to June 2023, Partech supported 15 UK-based companies across 27 fundraising rounds, with three in four (73%) being at growth stage at the time of fundraising. The firm has backed UK scaleups such as payment processing platform <a href=""https://www.blinkpayment.co.uk/"">Blink</a>.

In support of its portfolio companies, Partech provides coaching on strategy, operations, executive hiring, board structure, as well as preparation for M&A and build-ups. The firm has launched Partech Shaker, a nine-story building in central Paris designed for tech startups and scaleups.",,,,Paris,Île-de-France,IDF,,France,FR
